epoch,accuracy,loss,val_accuracy,val_loss
0,0.8062880039215088,0.46462881565093994,0.8669911026954651,0.3452930450439453
1,0.9014198780059814,0.27151504158973694,0.9193025231361389,0.23195824027061462
2,0.9224137663841248,0.2183748483657837,0.9322789907455444,0.22592803835868835
3,0.9401623010635376,0.16941820085048676,0.9286293387413025,0.20348972082138062
4,0.9448275566101074,0.14998438954353333,0.9359286427497864,0.17582473158836365
5,0.956085205078125,0.11816136538982391,0.9225466251373291,0.21768730878829956
6,0.9629817605018616,0.10273094475269318,0.9432278871536255,0.17572225630283356
7,0.9687626957893372,0.08474169671535492,0.9521492123603821,0.1614931970834732
8,0.976673424243927,0.06147028133273125,0.9424168467521667,0.19708172976970673
9,0.982758641242981,0.05043860524892807,0.9047039747238159,0.32305487990379333
10,0.9812373518943787,0.0507374033331871,0.9472830295562744,0.1992427259683609
11,0.9874239563941956,0.03598157688975334,0.9489051103591919,0.2295604795217514
12,0.9897565841674805,0.0334429033100605,0.9403892755508423,0.233896866440773
13,0.9867140054702759,0.037106096744537354,0.9529602527618408,0.21487461030483246
14,0.9910750389099121,0.02567029558122158,0.9582319259643555,0.2098865658044815
